date,ticker,rank,composite_score,momentum,lowvol,quality
2026-04-30,SNDK,1,6.0304,16.4324,-8.9234,2.4562
2026-04-30,LITE,2,3.5978,9.4329,-3.0173,-1.0676
2026-04-30,WDC,3,1.4872,4.3636,-2.5272,0.3178
2026-04-30,NVDA,4,1.3973,0.2862,-0.4162,6.8952
2026-04-30,CIEN,5,1.3835,3.9968,-1.7849,-0.3972
2026-04-30,VRSN,6,1.3486,-0.3444,0.3806,7.033
2026-04-30,TER,7,1.2522,2.4244,-0.765,1.3474
2026-04-30,FIX,8,0.9882,1.9527,-1.0193,1.588
2026-04-30,STX,9,0.9364,2.7346,-3.2666,2.7454
2026-04-30,LRCX,10,0.8804,1.5305,-1.2499,2.4504
2026-04-30,MU,11,0.8602,2.7717,-3.111,2.0384
2026-04-30,DPZ,12,0.8456,-0.4752,0.9641,3.9697
2026-04-30,AAPL,13,0.7633,-0.0708,0.6687,2.9903
2026-04-30,KLAC,14,0.7512,0.7388,-0.2047,2.2163
2026-04-30,MO,15,0.7086,-0.0756,0.3335,3.2315
2026-04-30,MA,16,0.6965,-0.323,1.0175,2.7639
2026-04-30,COHR,17,0.5967,2.1525,-1.1585,-0.6602
2026-04-30,YUM,18,0.5874,-0.2005,0.6077,2.527
2026-04-30,MSCI,19,0.5582,-0.246,0.8699,2.1013
2026-04-30,HAL,20,0.5415,0.6587,0.6801,0.0405
2026-04-30,GWW,21,0.5185,-0.1819,0.7885,1.8646
2026-04-30,MTD,22,0.5131,-0.0898,0.4793,2.0711
2026-04-30,APA,23,0.5116,1.3732,-0.7761,0.289
2026-04-30,NEM,24,0.5105,0.7124,-0.2962,1.2158
2026-04-30,FAST,25,0.5079,-0.1024,0.3952,2.2029
2026-04-30,ROST,26,0.5028,0.2617,0.8228,0.6252
2026-04-30,INCY,27,0.4571,0.1979,0.4875,1.0595
2026-04-30,AMAT,28,0.4547,0.8958,-0.7838,1.2099
2026-04-30,ITW,29,0.4512,-0.1481,0.7146,1.5544
2026-04-30,V,30,0.4495,-0.3533,0.8276,1.8895
2026-04-30,TJX,31,0.4336,-0.0205,0.8355,0.9658
2026-04-30,TPR,32,0.4266,0.6632,-0.5079,1.2366
2026-04-30,FICO,33,0.409,-0.6594,-0.6459,4.6626
2026-04-30,VLO,34,0.4083,0.8095,0.231,-0.3284
2026-04-30,ALB,35,0.4073,1.6345,-0.6557,-1.0664
2026-04-30,IDXX,36,0.4055,0.0173,-0.6037,2.8898
2026-04-30,HAS,37,0.4002,0.2549,0.4841,0.6374
2026-04-30,CAT,38,0.3993,0.9162,-0.2768,0.1213
2026-04-30,BKNG,39,0.3965,-0.3971,0.4042,2.3692
2026-04-30,JNJ,40,0.3963,0.2914,0.6991,0.2047
2026-04-30,MNST,41,0.3931,-0.0657,0.2889,1.6963
2026-04-30,HLT,42,0.3878,0.0642,0.7954,0.5856
2026-04-30,GILD,43,0.3762,0.0565,0.5964,0.8449
2026-04-30,GLW,44,0.3677,1.6255,-1.3135,-0.2547
2026-04-30,CBOE,45,0.3614,-0.0048,0.7948,0.6269
2026-04-30,SNA,46,0.3569,-0.0802,1.0312,0.4384
2026-04-30,PH,47,0.3544,0.19,0.6162,0.3728
2026-04-30,HUBB,48,0.348,0.0788,0.7146,0.4711
2026-04-30,NVR,49,0.3445,-0.3147,0.6013,1.6071
2026-04-30,APH,50,0.3406,0.3324,-0.0652,0.97
