Date,SPY
2010-02-28,0.03119450780230615
2010-03-31,0.06087967291881724
2010-04-30,0.015469984121999625
2010-05-31,-0.07945415668469336
2010-06-30,-0.05174100112903701
2010-07-31,0.06830035943486412
2010-08-31,-0.04498032038232436
2010-09-30,0.08955458509248948
2010-10-31,0.038201937019473275
2010-11-30,0.0
2010-12-31,0.06685239155723255
2011-01-31,0.023300435195726665
2011-02-28,0.03473726381020814
2011-03-31,0.00011971866264492981
2011-04-30,0.02896161448551582
2011-05-31,-0.011214438978820351
2011-06-30,-0.016869988519458978
2011-07-31,-0.02000430193583358
2011-08-31,-0.054975448045588404
2011-09-30,-0.06942082928878479
2011-10-31,0.10914654177284788
2011-11-30,-0.0040631930069693345
2011-12-31,0.010448431639071831
2012-01-31,0.04637426048918658
2012-02-29,0.043405674134554095
2012-03-31,0.03216343480383976
2012-04-30,-0.006675219935002086
2012-05-31,-0.06005595103015904
2012-06-30,0.0405810704947569
2012-07-31,0.01182940046483294
2012-08-31,0.025052602419549208
2012-09-30,0.025351179698767323
2012-10-31,-0.0181982698056683
2012-11-30,0.005659588875043919
2012-12-31,0.008934849886022223
2013-01-31,0.05119022506532733
2013-02-28,0.01275868368473132
2013-03-31,0.03797107531516675
2013-04-30,0.019212302596125497
2013-05-31,0.023609718327656237
2013-06-30,-0.013344581639696318
2013-07-31,0.051677027745685944
2013-08-31,-0.029992704544163362
2013-09-30,0.031646553946674594
2013-10-31,0.046306394154524755
2013-11-30,0.029638333298772634
2013-12-31,0.025926308156537292
2014-01-31,-0.03524825821450028
2014-02-28,0.045515819029392945
2014-03-31,0.00829525718655244
2014-04-30,0.0069517861412922155
2014-05-31,0.02320598331989876
2014-06-30,0.020645448232576857
2014-07-31,-0.013437830454726574
2014-08-31,0.039463656195504626
2014-09-30,-0.01379641135277554
2014-10-31,0.023551033492652973
2014-11-30,0.02747195150151649
2014-12-31,-0.0025363810083129934
2015-01-31,-0.02962936401893812
2015-02-28,0.05620428940648203
2015-03-31,-0.015705545597677784
2015-04-30,0.009834101902547632
2015-05-31,0.012856001937300965
2015-06-30,-0.0203120440250234
2015-07-31,0.02258923906253707
2015-08-31,-0.06095023342135175
2015-09-30,-0.025516098414012367
2015-10-31,0.08505975744487526
2015-11-30,0.003655110578230536
2015-12-31,-0.017282317858688057
2016-01-31,-0.0497867213154094
2016-02-29,-0.0008258524046498295
2016-03-31,0.06726616413612208
2016-04-30,0.003940894276090567
2016-05-31,0.01701165301669949
2016-06-30,0.003475892782175194
2016-07-31,0.03647139922560361
2016-08-31,0.0011975154024164159
2016-09-30,5.794657555879823e-05
2016-10-31,-0.017337021754760595
2016-11-30,0.036838552365926036
2016-12-31,0.02027146174875516
2017-01-31,0.01789500491267826
2017-02-28,0.039291154004580164
2017-03-31,0.001250143497071532
2017-04-30,0.009925959134541973
2017-05-31,0.014113029440935732
2017-06-30,0.006374960251701145
2017-07-31,0.020554335103636356
2017-08-31,0.0029177547544705362
2017-09-30,0.02014934143685365
2017-10-31,0.02356405826372643
2017-11-30,0.030565875261576503
2017-12-31,0.012127915614692952
2018-01-31,0.05635852382265272
2018-02-28,-0.03636005830007316
2018-03-31,-0.02741032556322931
2018-04-30,0.005168519198383459
2018-05-31,0.02430894533441208
2018-06-30,0.005750965276186681
2018-07-31,0.037046274385755806
2018-08-31,0.03191998721250133
2018-09-30,0.0059450322843166425
2018-10-31,-0.06910398787718108
2018-11-30,0.01854946586408479
2018-12-31,-0.08804852897145055
2019-01-31,0.08006561264197898
2019-02-28,0.032415660553217984
2019-03-31,0.0181007552298611
2019-04-30,0.04085236460432751
2019-05-31,-0.06377105689138451
2019-06-30,0.06958621389870867
2019-07-31,0.01511954373965807
2019-08-31,-0.01674327652306229
2019-09-30,0.01945775359606472
2019-10-31,0.022104757165193112
2019-11-30,0.03619828555573412
2019-12-31,0.029055240253768932
2020-01-31,-0.0004038058598538896
2020-02-29,-0.07916588085426779
2020-03-31,-0.12487117726312935
2020-04-30,0.12698359542130344
2020-05-31,0.04764534496002337
2020-06-30,0.017734419096728793
2020-07-31,0.05889206184065232
2020-08-31,0.0697966993159671
2020-09-30,-0.03744367254176095
2020-10-31,-0.02493333680678267
2020-11-30,0.10877676099654665
2020-12-31,0.03704836599999717
2021-01-31,-0.01019039465673055
2021-02-28,0.027805472069139636
2021-03-31,0.045399037803127706
2021-04-30,0.0529108180167821
2021-05-31,0.006565781608639298
2021-06-30,0.022427698631373172
2021-07-31,0.02441230984089282
2021-08-31,0.029759891958028195
2021-09-30,-0.04660551935594248
2021-10-31,0.07016352185271613
2021-11-30,-0.008034770140313507
2021-12-31,0.046247671871071594
2022-01-31,-0.052741271469145756
2022-02-28,-0.029516852818471828
2022-03-31,0.03759040518638579
2022-04-30,-0.08776920798490284
2022-05-31,0.0022572838637198167
2022-06-30,-0.08246033931001628
2022-07-31,0.09208741594072722
2022-08-31,-0.04080191352086626
2022-09-30,-0.09244588722603342
2022-10-31,0.08127548619403058
2022-11-30,0.0555915804036935
2022-12-31,-0.05762825941067129
2023-01-31,0.06288728051745496
2023-02-28,-0.025142737296570572
2023-03-31,0.037077865654816744
2023-04-30,0.015974926467341666
2023-05-31,0.004616233643151002
2023-06-30,0.06479979732844532
2023-07-31,0.03273339605696446
2023-08-31,-0.016252074067279687
2023-09-30,-0.04743451568540813
2023-10-31,-0.021708633908195663
2023-11-30,0.09134380514453877
2023-12-31,0.045655422185430394
2024-01-31,0.015926497614663804
2024-02-29,0.052186823342878386
2024-03-31,0.032701862861447495
2024-04-30,-0.04031959393602946
2024-05-31,0.05057965848461543
2024-06-30,0.03528025129150136
2024-07-31,0.012109031554593752
2024-08-31,0.023365661279203698
2024-09-30,0.021004643449419547
2024-10-31,-0.008923455983208206
2024-11-30,0.05963313728294506
2024-12-31,-0.024060110682448288
2025-01-31,0.026856433237626653
2025-02-28,-0.012694834127274901
2025-03-31,-0.05571911592986334
2025-04-30,-0.008670179898342067
2025-05-31,0.06284486771162645
2025-06-30,0.051386166427956015
2025-07-31,0.02303154344336633
2025-08-31,0.020519537835420598
2025-09-30,0.035620412937162005
2025-10-31,0.02383732196113164
2025-11-30,0.0019500340229998692
2025-12-31,0.008267742385457577
